page_index,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
4,5,1,1,1,1,1,20,14,55,29,96.080994,108
4,5,1,2,1,1,1,146,199,56,18,96.640495,Table
4,5,1,2,1,1,2,209,199,17,18,92.724129,4.
4,5,1,2,1,1,3,236,200,45,17,96.613258,Data
4,5,1,2,1,1,4,288,204,26,13,96.693146,on
4,5,1,2,1,1,5,321,199,73,18,96.157463,Musical
4,5,1,2,1,1,6,402,199,65,19,94.183678,Scales.
4,5,1,2,1,2,1,147,240,21,18,94.720383,A.
4,5,1,2,1,2,2,177,239,106,24,96.243309,Frequency
4,5,1,2,1,2,3,290,239,23,19,96.4216,of
4,5,1,2,1,2,4,319,239,73,19,96.745163,musical
4,5,1,2,1,2,5,400,242,60,19,96.977257,"notes,"
4,5,1,2,1,2,6,466,239,97,24,96.467697,expressed
4,5,1,2,1,2,7,570,240,18,18,96.101196,in
4,5,1,2,1,2,8,596,239,50,19,96.101196,hertz
4,5,1,2,1,2,9,652,239,87,23,95.978554,(number
4,5,1,2,1,2,10,745,239,23,19,96.489326,of
4,5,1,2,1,2,11,773,239,91,24,96.410507,complete
4,5,1,2,1,2,12,871,239,112,19,96.325439,oscillations
4,5,1,2,1,2,13,990,245,32,19,96.904129,per
4,5,1,2,1,2,14,1028,239,77,24,96.646835,second)
4,5,1,3,1,1,1,254,283,94,19,96.675194,European
4,5,1,3,1,1,2,357,284,84,18,96.675194,notation
4,5,1,3,1,1,3,639,277,31,35,36.351135,(oad
4,5,1,3,1,1,4,760,278,24,35,67.138702,Cc
4,5,1,3,1,1,5,883,285,15,18,4.99823,c
4,5,1,3,1,1,6,963,279,231,27,51.422005,foc
4,5,1,3,1,1,7,1066,275,20,39,79.241547,|
4,5,1,3,1,1,8,1111,275,37,39,28.894936,c'
4,5,1,3,1,1,9,1170,275,27,39,64.627533,i
4,5,1,3,1,2,1,271,313,77,14,79.356682,merican
4,5,1,3,1,2,2,356,311,84,16,96.122253,notation
4,5,1,3,1,2,3,638,317,25,22,96.443466,Co
4,5,1,3,1,2,4,764,319,26,21,44.647198,Ci
4,5,1,3,1,2,5,883,320,23,20,20.868729,CG
4,5,1,3,1,3,1,616,350,80,18,95.228668,16.3516
