page_index,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
3,5,1,1,1,1,1,15,15,59,30,96.593864,106
3,5,1,2,1,1,1,725,221,94,14,90.501549,Schenkelaars
3,5,1,2,1,1,2,825,222,28,13,95.906021,alto
3,5,1,3,1,1,1,1017,222,49,13,87.4832,Selmer
3,5,1,3,1,1,2,1072,225,57,14,96.747963,soprano
3,5,1,4,1,1,1,1249,221,95,14,69.49147,Schenkelaars
3,5,1,4,1,1,2,1354,225,58,15,96.762573,soprano
3,5,1,4,1,1,3,1535,221,67,14,77.629959,Solotone
3,5,1,4,1,1,4,1607,225,58,14,89.893936,soprano
3,5,1,5,1,1,1,432,236,1293,10,95.0, 
3,5,1,6,1,1,1,1287,245,14,20,46.120434,"""6"
3,5,1,7,1,1,1,176,269,1262,10,95.0, 
3,5,1,8,1,1,1,605,276,4,318,95.0, 
3,5,1,9,1,1,1,199,591,4,306,95.0, 
3,5,1,10,1,1,1,867,252,7,655,95.0, 
3,5,1,11,1,1,1,534,243,8,684,95.0, 
3,5,1,12,1,1,1,803,336,7,594,95.0, 
3,5,1,13,1,1,1,334,293,10,671,95.0, 
3,5,1,14,1,1,1,470,596,6,369,95.0, 
3,5,1,15,1,1,1,996,327,7,594,95.0, 
3,5,1,16,1,1,1,1126,277,9,687,95.0, 
3,5,1,17,1,1,1,1059,327,9,636,95.0, 
3,5,1,18,1,1,1,129,187,1604,784,95.0, 
3,5,1,19,1,1,1,1236,281,52,14,91.448479,mouth-
3,5,1,20,1,1,1,1590,243,8,544,95.0, 
3,5,1,21,1,1,1,1528,390,6,531,95.0, 
3,5,1,22,1,1,1,1659,278,7,650,95.0, 
3,5,1,23,1,1,1,1327,244,10,719,95.0, 
3,5,1,24,1,1,1,1397,321,9,639,95.0, 
3,5,1,25,1,1,1,1261,436,7,528,95.0, 
3,5,1,26,1,1,1,151,976,13,18,79.695427,a)
3,5,1,26,1,1,2,172,968,48,30,96.703285,volume
3,5,1,26,1,1,3,228,980,7,6,93.748421,=
3,5,1,26,1,1,4,242,968,33,30,91.991478,20.4
3,5,1,26,1,1,5,282,976,33,18,55.639389,+0.1
3,5,1,26,1,1,6,324,968,34,30,64.780563,cm.
3,5,1,26,1,1,7,372,976,13,17,55.038761,c)
3,5,1,26,1,1,8,394,968,48,30,89.825539,volume
3,5,1,26,1,1,9,449,980,8,6,89.825539,=
3,5,1,26,1,1,10,466,976,30,15,61.441517,16.0
3,5,1,26,1,1,11,502,979,8,15,61.441517,+
3,5,1,26,1,1,12,519,968,28,30,57.542297,0.1.
3,5,1,26,1,1,13,549,974,34,16,71.29879,cm?.
3,5,1,26,1,1,14,603,976,13,17,66.9776,e)
3,5,1,26,1,1,15,622,976,148,18,94.221481,volume
3,5,1,26,1,1,16,682,968,8,30,88.981171,=
3,5,1,26,1,1,17,694,968,36,30,59.186039,14.9
3,5,1,26,1,1,18,732,968,10,30,59.186039,+
3,5,1,26,1,1,19,749,968,26,30,87.976532,0.1
3,5,1,26,1,1,20,778,973,30,17,66.503944,cm?
3,5,1,26,1,1,21,828,975,14,18,47.510635,g)
3,5,1,26,1,1,22,848,973,175,20,93.392723,volume
3,5,1,26,1,1,23,907,968,8,30,76.924942,=
3,5,1,26,1,1,24,922,968,23,30,40.725792,7.0
3,5,1,26,1,1,25,949,968,8,30,40.725792,+
3,5,1,26,1,1,26,964,968,26,30,83.909714,0.1
3,5,1,26,1,1,27,997,968,30,30,60.17078,cm?
3,5,1,26,1,1,28,1037,968,18,30,78.433411,h)
3,5,1,26,1,1,29,1062,968,50,30,83.541977,volume
3,5,1,26,1,1,30,1122,979,5,7,83.541977,=
3,5,1,26,1,1,31,1134,975,23,14,27.725807,7.4
3,5,1,26,1,1,32,1163,978,7,15,27.725807,+
3,5,1,26,1,1,33,1179,976,21,13,68.516037,0.1
3,5,1,26,1,1,34,1209,973,32,17,32.368027,cm.?
3,5,1,26,1,1,35,1257,975,12,18,40.155434,j)
3,5,1,26,1,1,36,1274,972,180,21,95.553009,volume
3,5,1,26,1,1,37,1334,968,8,30,59.182861,=
3,5,1,26,1,1,38,1347,968,23,30,59.182861,6.7
3,5,1,26,1,1,39,1377,968,8,30,93.640816,+
3,5,1,26,1,1,40,1392,968,25,30,94.780685,0.1
3,5,1,26,1,1,41,1424,968,33,30,32.354263,cm.
3,5,1,26,1,2,1,150,998,15,17,69.262154,b)
3,5,1,26,1,2,2,173,998,17,17,74.752731,Re
3,5,1,26,1,2,3,201,1002,5,7,68.73671,=
3,5,1,26,1,2,4,212,991,18,33,68.73671,48
3,5,1,26,1,2,5,239,991,31,33,95.93158,mm.
3,5,1,26,1,2,6,371,999,41,17,57.03577,"4)R,"
3,5,1,26,1,2,7,422,1002,5,7,57.860634,=
3,5,1,26,1,2,8,433,999,17,13,57.860634,45
3,5,1,26,1,2,9,460,990,29,33,96.184799,mm.
3,5,1,26,1,2,10,605,998,52,19,33.018333,R=
3,5,1,26,1,2,11,662,990,56,32,33.018333,42mm.
3,5,1,27,1,1,1,658,1070,395,4,95.0, 
3,5,1,28,1,1,1,667,1107,8,13,72.042542,>
3,5,1,29,1,1,1,237,1127,1054,7,95.0, 
3,5,1,30,1,1,1,823,1102,4,345,95.0, 
3,5,1,31,1,1,1,475,1099,3,360,95.0, 
3,5,1,32,1,1,1,231,1135,6,414,95.0, 
3,5,1,33,1,1,1,868,1101,5,536,95.0, 
3,5,1,34,1,1,1,426,1145,4,500,95.0, 
3,5,1,35,1,1,1,696,1147,5,497,95.0, 
3,5,1,36,1,1,1,913,1136,5,519,95.0, 
3,5,1,37,1,1,1,602,1192,5,447,95.0, 
3,5,1,38,1,1,1,654,1179,5,476,95.0, 
3,5,1,39,1,1,1,660,1494,28,162,0.0,SSuoeees;
3,5,1,39,1,1,2,660,1138,28,340,2.636627,vwousauveauveaavany
3,5,1,40,1,1,1,380,1206,4,460,95.0, 
3,5,1,41,1,1,1,586,1705,16,17,91.405472,k)
3,5,1,41,1,1,2,606,1706,22,14,94.783615,On
3,5,1,41,1,1,3,633,1709,58,15,94.783615,soprano
3,5,1,41,1,1,4,697,1706,90,18,96.790565,"saxophones,"
3,5,1,41,1,1,5,792,1706,22,14,96.426117,the
3,5,1,41,1,1,6,820,1707,26,16,96.414886,key
3,5,1,41,1,1,7,852,1707,81,14,96.770363,mechanism
3,5,1,41,1,1,8,940,1711,10,10,94.063492,is
3,5,1,41,1,2,1,586,1728,32,15,87.125145,such
3,5,1,41,1,2,2,626,1728,28,15,96.673172,that
3,5,1,41,1,2,3,662,1728,31,18,93.277763,high
3,5,1,41,1,2,4,699,1728,10,15,92.609665,B
3,5,1,41,1,2,5,714,1732,18,10,96.788055,on
3,5,1,41,1,2,6,738,1729,23,14,95.999222,the
3,5,1,41,1,2,7,766,1729,49,14,97.005936,second
3,5,1,41,1,2,8,822,1730,52,16,96.734428,register
3,5,1,41,1,2,9,881,1730,10,13,93.162834,is
3,5,1,41,1,2,10,897,1729,51,14,93.162834,formed
