page_index,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,5,1,1,1,1,1,40,22,60,29,96.801575,104
1,5,1,2,1,1,1,45,295,47,16,95.679787,Table
1,5,1,2,1,1,2,99,296,13,16,92.113441,3.
1,5,1,2,1,1,3,125,296,56,19,96.998627,Survey
1,5,1,2,1,1,4,188,296,19,16,97.007843,of
1,5,1,2,1,1,5,213,300,119,13,96.944565,measurements
1,5,1,2,1,1,6,338,302,21,11,96.672478,on
1,5,1,2,1,1,7,365,298,96,16,96.470352,woodwinds
1,5,1,3,1,1,1,48,355,18,20,84.045067,"d,"
1,5,1,3,1,1,2,100,360,9,7,76.330376,=
1,5,1,3,1,1,3,151,360,41,12,12.4655,inner
1,5,1,3,1,1,4,199,356,74,16,92.951561,diameter
1,5,1,3,1,1,5,279,356,19,16,96.576202,of
1,5,1,3,1,1,6,303,358,41,15,96.966644,main
1,5,1,3,1,1,7,352,357,36,16,95.478279,tube
1,5,1,3,1,1,8,393,357,52,19,95.478279,(mm).
1,5,1,3,1,1,9,1050,363,23,19,84.37191,Ro
1,5,1,3,1,1,10,1102,366,8,7,92.297348,=
1,5,1,3,1,1,11,1153,364,51,15,32.899124,radius
1,5,1,3,1,1,12,1209,363,18,16,96.883446,of
1,5,1,3,1,1,13,1232,367,78,12,96.879639,curvature
1,5,1,3,1,1,14,1318,364,18,15,96.879639,of
1,5,1,3,1,1,15,1342,364,59,16,96.943787,bended
1,5,1,3,1,1,16,1409,368,32,16,96.850929,part
1,5,1,3,1,1,17,1449,364,18,16,96.846214,of
1,5,1,3,1,1,18,1473,365,25,15,96.727188,the
1,5,1,3,1,1,19,1506,364,36,16,96.807716,bore
1,5,1,3,2,1,1,48,382,17,20,66.037018,Ig
1,5,1,3,2,1,2,100,385,9,7,38.474823,*
1,5,1,3,2,1,3,150,381,67,16,95.555511,distance
1,5,1,3,2,1,4,225,384,17,13,96.113998,to
1,5,1,3,2,1,5,249,383,22,18,95.910065,tip
1,5,1,3,2,1,6,277,381,20,16,95.660011,of
1,5,1,3,2,1,7,302,382,34,16,95.660011,reed
1,5,1,3,2,1,8,344,387,16,11,96.471138,or
1,5,1,3,2,1,9,367,385,17,13,94.880402,to
1,5,1,3,2,1,10,390,385,52,13,94.880402,centre
1,5,1,3,2,1,11,448,382,19,16,93.2005,of
1,5,1,3,2,1,12,472,383,147,16,92.034248,embouchure-hole
1,5,1,3,2,1,13,625,384,52,19,96.518837,(mm).
1,5,1,3,2,1,14,1051,391,8,10,96.80854,+
1,5,1,3,2,1,15,1152,389,65,16,96.615746,denotes
1,5,1,3,2,1,16,1223,389,109,20,96.724113,undercutting
1,5,1,3,2,1,17,1338,389,18,16,97.011566,of
1,5,1,3,2,1,18,1362,395,7,10,89.334236,a
1,5,1,3,2,1,19,1376,390,40,15,91.901314,hole.
1,5,1,3,3,1,1,47,407,24,19,67.81871,dy
1,5,1,3,3,1,2,100,411,9,7,41.986412,*
1,5,1,3,3,1,3,150,407,34,15,96.955658,hole
1,5,1,3,3,1,4,191,407,74,16,96.707809,diameter
1,5,1,3,3,1,5,272,412,17,11,96.470055,or
1,5,1,3,3,1,6,296,410,19,13,96.899818,its
1,5,1,3,3,1,7,322,408,65,16,93.14518,smallest
1,5,1,3,3,1,8,393,408,43,16,96.827362,value
1,5,1,3,3,1,9,442,408,53,20,96.559334,(mm).
1,5,1,3,3,1,10,503,408,29,17,96.965019,For
1,5,1,3,3,1,11,538,409,34,15,96.775703,oval
1,5,1,3,3,1,12,579,409,48,18,95.827919,"holes,"
